Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
1,1,36.688383,2.8666417,43.7,177.1
1,1,36.6883791,2.8666431,42.4,181.4
1,1,36.6883767,2.8666843,13.6,181.4
1,1,36.68837,2.8666849,11.2,181.3
1,1,36.688366,2.8666837,9.1,181.4
1,1,36.6883563,2.8667114,13.2,181.3
1,1,36.6883599,2.8667145,8.0,181.4
1,1,36.6883604,2.8667146,8.3,181.3
1,1,36.6883642,2.8667186,6.5,181.3
1,1,36.6883638,2.8667164,5.7,181.3
1,1,36.6883648,2.8667158,6.1,181.3
1,1,36.6883656,2.8667164,6.4,181.3
1,1,36.6883659,2.8667167,6.9,181.4
1,1,36.6883644,2.8667195,6.8,181.3
1,1,36.6883638,2.8667167,6.3,181.4
1,1,36.6883639,2.866721,6.8,181.3
1,1,36.6883642,2.86672,7.1,181.3
1,1,36.6883643,2.8667196,7.1,181.4
1,1,36.688362,2.8667137,7.3,181.3
1,1,36.6883619,2.8667135,8.1,182.8
1,1,36.6883674,2.8667053,10.4,181.4
1,1,36.6883657,2.8667056,9.8,175.2
1,1,36.688367,2.8667279,9.8,175.0
1,1,36.6883746,2.8667481,9.9,175.6
1,1,36.6883792,2.8667675,8.8,175.6
1,1,36.6883803,2.8667691,8.8,181.3
1,1,36.6883928,2.8667399,8.3,175.2
1,1,36.6883926,2.8667409,8.3,175.2
1,1,36.6883925,2.8667406,8.4,181.3
1,1,36.6883921,2.8667403,8.6,181.3
1,1,36.6883889,2.8667468,8.9,177.1
1,1,36.6883889,2.86675,9.2,181.3
1,1,36.6883856,2.8667462,8.7,181.3
1,1,36.6883856,2.8667421,8.7,177.4
1,1,36.6883832,2.8667417,8.4,181.4
1,1,36.6883804,2.8667457,8.0,181.3
1,1,36.6883769,2.8667396,8.1,181.4
1,1,36.6883727,2.8667326,8.4,181.4
1,1,36.6883672,2.8667228,7.9,181.3
1,1,36.6883663,2.8667212,8.1,181.4
1,1,36.6883658,2.8667204,8.6,181.4
1,1,36.6883647,2.8667146,82.5,177.1
1,2,36.688378,2.8667569,60.0,175.2
1,2,36.6883833,2.8668,31.0,175.2
1,2,36.6883872,2.8668061,29.6,181.4
1,2,36.6883854,2.8668044,30.3,181.3
1,2,36.6883651,2.8667405,22.6,181.4
1,2,36.6883601,2.866725,41.1,181.3
1,2,36.6864104,2.8642283,82.5,182.8
1,2,36.6883204,2.8667022,67.6,181.4
1,2,36.6883205,2.8667047,67.6,181.3
1,2,36.6883205,2.866709,67.6,181.4
1,2,36.6883293,2.8667125,52.4,181.4
1,2,36.6864101,2.8642232,104.1,182.8
1,2,36.6864083,2.8642237,122.4,182.8
1,2,36.6883881,2.8667864,35.4,175.2
1,2,36.6883393,2.8666699,31.9,181.3
1,2,36.6883388,2.8666695,31.9,181.3
1,2,36.6883379,2.8666727,32.6,181.3
1,2,36.6883413,2.8666701,35.0,181.3
1,2,36.6883829,2.8668281,48.9,181.3
1,2,36.688355,2.8667843,52.4,181.4
1,2,36.6883685,2.866755,32.0,181.3
1,2,36.6883718,2.8667613,32.7,181.3
1,2,36.6883691,2.8667383,19.8,181.4
1,2,36.688361,2.8667276,60.0,181.4
1,2,36.6883539,2.866719,77.6,181.3
1,2,36.6864112,2.864226,142.5,182.8
1,2,36.6883623,2.8665724,56.1,177.1
1,2,36.6883485,2.8666324,68.4,181.3
1,2,36.6883414,2.8666794,77.6,181.4
1,2,36.6883444,2.8666949,77.6,181.3
1,2,36.6883524,2.8666888,92.9,177.1
1,2,36.6883713,2.8667376,33.9,177.3
1,2,36.6883733,2.8667462,33.9,181.3
1,2,36.6883687,2.8667444,14.1,181.4
1,2,36.6883693,2.8667302,12.3,181.4
1,2,36.6883694,2.8667261,12.3,181.4
1,2,36.6883594,2.8667076,21.8,177.1
1,2,36.6883367,2.8666929,68.4,181.4
1,2,36.68838,2.8667739,43.3,181.4
1,2,36.6883735,2.8667668,98.4,181.4
1,2,36.6883459,2.8666895,105.9,181.4
1,2,36.6883356,2.8666908,77.6,181.4
1,2,36.6884144,2.8668484,64.1,174.9
1,2,36.6883654,2.8668722,30.4,181.3
1,2,36.6883658,2.8668753,33.7,181.4
1,3,36.688357,2.8667635,33.8,181.4
1,3,36.6883534,2.8667438,33.8,181.3
1,3,36.688355,2.8667369,72.9,181.4
1,3,36.688352,2.8666542,77.6,177.1
1,3,36.6883485,2.8666126,82.5,177.1
1,3,36.6883611,2.8666961,72.9,175.2
1,3,36.6883488,2.8666655,77.6,181.4
1,3,36.6883759,2.8667451,104.1,175.2
1,3,36.6883589,2.8667023,92.9,181.4
1,3,36.6883519,2.8666088,92.9,177.1
1,3,36.6883664,2.8666757,47.8,177.1
1,3,36.6883695,2.8666891,47.8,177.3
1,3,36.6883642,2.8666613,16.6,181.4
1,3,36.6883615,2.8666679,101.4,181.4
1,3,36.6883612,2.866673,316.8,181.4
1,3,36.6883577,2.8666828,135.6,181.4
1,3,36.6883354,2.8666867,72.9,181.4
1,3,36.6883458,2.8666869,72.9,181.3
1,3,36.6883473,2.8666869,338.6,181.3
1,3,36.6883416,2.8666921,92.9,181.4
1,3,36.6883647,2.8667508,82.5,174.9
1,3,36.688363,2.8666829,135.6,177.1
1,3,36.6883843,2.8666989,57.9,177.1
1,3,36.6883893,2.866702,58.1,177.1
1,3,36.6883456,2.8666502,116.1,177.1
1,3,36.6883474,2.8666179,122.4,181.3
1,3,36.6883622,2.8667016,49.8,177.1
